metapath,z_analytical,z_mc_seed42,z_mc_seed43,z_mc_seed44,z_mc_mean,z_mc_std,z_mc_min,z_mc_max
GpBPpGpBP,21.974989483869173,29.579310217417607,25.80542133554916,41.68262004832428,32.35578386709702,8.294755221630115,25.80542133554916,41.68262004832428
GpPWpGpBP,20.91667202116316,56.77632969364981,45.47806303013658,37.43732994156713,46.563907555117844,9.71511819805026,37.43732994156713,56.77632969364981
GpMFpGpBP,13.73795364701183,15.714672131204534,18.981887813198842,20.464460790873154,18.387006911758842,2.4301307666569523,15.714672131204534,20.464460790873154
GiGiGpBP,4.472090220910445,4.476917380918208,2.8482381300754587,4.363868905495551,3.8963414721630727,0.9094423847722659,2.8482381300754587,4.476917380918208
GdDaGpBP,2.727395372707633,0.08558549324465002,-0.13924956643453465,0.2019441114126023,0.04942667940757256,0.17344704181476342,-0.13924956643453465,0.2019441114126023
GuDaGpBP,2.2939917153691285,0.6074413501160725,0.9627782958093073,0.7605822012593988,0.7769339490615929,0.17823193032054932,0.6074413501160725,0.9627782958093073
G<rGr>GpBP,2.0387695975906124,1.9576338604417505,1.1231695746232189,2.17334464629975,1.7513826937882397,0.5546364377699615,1.1231695746232189,2.17334464629975
GaDuGpBP,1.992805253160803,3.8172820628119313,3.2579715723907663,5.292281856104922,4.122511830435873,1.050941716218895,3.2579715723907663,5.292281856104922
GcGcGpBP,1.722114411561869,1.3499199996448594,2.0458949766024004,1.7934428130025195,1.729752596416593,0.3523316972745059,1.3499199996448594,2.0458949766024004
GuDdGpBP,1.4281429041399238,0.9476022389054194,0.5230074520158545,0.2650319084908958,0.5785471998040567,0.3446578907827743,0.2650319084908958,0.9476022389054194
GuCdGpBP,0.687437588370302,-0.34570985295305734,-0.5510738296119616,-0.6957210062967536,-0.5308348962872574,0.1758811038253896,-0.6957210062967536,-0.34570985295305734
G<rGiGpBP,0.31543700382746015,0.40417222254976637,-0.06091447576726271,0.23737827900181788,0.19354534192810716,0.23562131486187687,-0.06091447576726271,0.40417222254976637
Gr>GiGpBP,0.038210105916015626,0.4632884162920609,0.29557616323077845,0.4151022465757663,0.39132227536620184,0.08634793124197415,0.29557616323077845,0.4632884162920609
G<rG<rGpBP,0.012548316351556352,-0.20875283660053587,-0.31207104808842095,-0.4518505116765788,-0.32422479878851185,0.12200370957025981,-0.4518505116765788,-0.20875283660053587
GuAuGpBP,-0.06722553089868885,2.3238129018866087,2.104620109951819,2.5831397005173353,2.3371909041185877,0.23954013827861187,2.104620109951819,2.5831397005173353
GeAuGpBP,-0.12810586871185775,2.396822628702129,2.5850354136666422,2.706503621562792,2.5627872213105207,0.15603466243795883,2.396822628702129,2.706503621562792
GbCbGpBP,-0.14433756729740643,,,-0.22360679774997894,-0.22360679774997894,,-0.22360679774997894,-0.22360679774997894
GiGpBP,-0.14433756729740643,-0.32403835103637935,-0.3245996053812949,,-0.32431897820883715,0.00039686675326020004,-0.3245996053812949,-0.32403835103637935
GcGpBP,-0.14433756729740643,,,,,,,
GiG<rGpBP,-0.19750405648923147,-0.4805418034308281,-0.3453203276084963,-0.7323981589274006,-0.519420096655575,0.19644580203630868,-0.7323981589274006,-0.3453203276084963
G<rGpBP,-0.20353419878644538,-0.320552244773574,-0.513339841580761,-0.2236067977499789,-0.35249962803477125,0.1474848658160926,-0.513339841580761,-0.2236067977499789
G<rGcGpBP,-0.20421821425699588,-0.401539722222885,-0.5102285031175376,-0.5895941064641579,-0.5004541106015269,0.0944074516120622,-0.5895941064641579,-0.401539722222885
GcGr>GpBP,-0.22156808656342322,-0.6382103426314814,-0.4234585321069683,-0.5255721790555223,-0.5290803512646574,0.10741887862510853,-0.6382103426314814,-0.4234585321069683
Gr>Gr>GpBP,-0.2400603761598435,-0.047740932313274725,0.01280349523705898,-0.28248883019596754,-0.10580875575739442,0.15597529757805947,-0.28248883019596754,0.01280349523705898
Gr>GpBP,-0.2929526956976827,-0.22360679774997894,-0.22360679774997902,,-0.223606797749979,6.206335383118183e-17,-0.22360679774997902,-0.22360679774997894
GiGcGpBP,-0.3331785095145209,-0.5117434632745469,-0.3628989349741396,-0.47135441258101696,-0.4486656036099011,0.076972462222788,-0.5117434632745469,-0.3628989349741396
GcGiGpBP,-0.3402892889464298,-0.5783607144881362,-0.6010614821098504,-0.7860269082396587,-0.6551497016125484,0.11390989256223646,-0.7860269082396587,-0.5783607144881362
GpCCpGpBP,-0.4258798821214624,0.1725739513003481,0.18191274390376244,0.2352951102673328,0.19659393515714782,0.03383990215713248,0.1725739513003481,0.2352951102673328
GiGr>GpBP,-0.5984063766394848,-0.6581996161567458,-0.7497505214138348,-1.0502835414894134,-0.8194112263533313,0.20511438634471477,-1.0502835414894134,-0.6581996161567458
GcG<rGpBP,-0.6473461372079952,-1.3491389479584266,-0.9079333772906955,-1.232575605826756,-1.1632159770252926,0.22863433136269617,-1.3491389479584266,-0.9079333772906955
GuAdGpBP,-0.6993960393351109,1.5670732114292092,1.053138756627959,0.9008269607311198,1.1736796429294294,0.34909682839446327,0.9008269607311198,1.5670732114292092
GdDuGpBP,-0.7000087496120544,-0.6069982406695503,-0.7073345932155148,-0.5953813749393894,-0.636571402941485,0.06155736930430895,-0.7073345932155148,-0.5953813749393894
GbCdGpBP,-0.7886976368154965,-0.4655775854822159,-0.3927191972540218,-0.5047863772763732,-0.454361053337537,0.05686933404353343,-0.5047863772763732,-0.3927191972540218
Gr>GcGpBP,-0.8525317231134635,-0.7880544765429559,-0.760223713242374,-0.5843344527772232,-0.7108708808541845,0.11046374323428586,-0.7880544765429559,-0.5843344527772232
GdDdGpBP,-0.9102843426501508,4.0080301209107585,3.942151442444388,2.9153432508691948,3.6218416047414466,0.612731542428877,2.9153432508691948,4.0080301209107585
GaDaGpBP,-0.9456069759837015,2.3474808851731077,2.514296474140812,2.6023288313759427,2.4880353968966205,0.12943763770430067,2.3474808851731077,2.6023288313759427
GdCdGpBP,-1.5948544974903744,1.0832416480997107,0.5253511975442335,1.3965421087169907,1.001711651453645,0.4412808133063745,0.5253511975442335,1.3965421087169907
GuDuGpBP,-1.653270498692371,-0.7207732469765623,-0.5873140604491406,-0.6053973017590916,-0.6378282030615982,0.07239931723856226,-0.7207732469765623,-0.5873140604491406
GdAeGpBP,-2.157555939160403,1.9301764014115859,1.6526776194520678,1.8566587215393813,1.8131709141343448,0.143769904854692,1.6526776194520678,1.9301764014115859
Gr>G<rGpBP,-2.2189735654830565,-0.14442645791473172,-0.3708840958322428,-0.3139917036002138,-0.2764340857823961,0.11780787934135212,-0.3708840958322428,-0.14442645791473172
GdAdGpBP,-2.278934778972244,1.8770743931950011,2.0584845932694718,1.6349095187559741,1.8568228350734823,0.21251248232054679,1.6349095187559741,2.0584845932694718
GdAuGpBP,-2.600570876427385,1.08276873688702,0.9778583429395616,0.4318444043990167,0.8308238280751995,0.349485311676023,0.4318444043990167,1.08276873688702
GaDdGpBP,-2.7382782404388326,-0.5531889217075701,-0.6183419448300338,-0.580417496067101,-0.5839827875349016,0.03272250881177744,-0.6183419448300338,-0.5531889217075701
GeAdGpBP,-2.7945517000868314,2.060194854139134,2.017244335768844,2.052324472014325,2.043254553974101,0.02286666388023055,2.017244335768844,2.060194854139134
GeAeGpBP,-2.98068289300443,1.9394452041296717,1.772289374590815,1.722561384874612,1.811431987865033,0.11361670605204408,1.722561384874612,1.9394452041296717
GuAeGpBP,-4.035892163278144,1.7831283821022468,1.5722965950413694,1.4312717240529071,1.5955655670655078,0.17707868518742614,1.4312717240529071,1.7831283821022468
GbCuGpBP,,,,,,,,
GdCbGpBP,,,,,,,,
GdCuGpBP,,,,,,,,
GpBP,,,,,,,,
GuCbGpBP,,,,,,,,
GuCuGpBP,,,,,,,,
